"X","BASE SIGNAL - COURSE","BASE SIGNAL - AMPLIFIED"
0,0,0.000952371
0.01,0.01,0.0010983
0.02,0.02,0.00129585
0.03,0.03,0.00156231
0.04,0.04,0.00191914
0.05,0.05,0.00239192
0.06,0.06,0.00300995
0.07,0.07,0.00380515
0.08,0.08,0.00481034
0.09,0.09,0.00605709
0.1,0.1,0.00757349
0.11,0.11,0.00938214
0.12,0.12,0.0114989
0.13,0.13,0.0139322
0.14,0.14,0.0166835
0.15,0.15,0.0197482
0.16,0.16,0.0231168
0.17,0.17,0.0267761
0.18,0.18,0.0307106
0.19,0.19,0.0349036
0.2,0.2,0.0393378
0.21,0.21,0.0439963
0.22,0.22,0.0488625
0.23,0.23,0.0539208
0.24,0.24,0.0591566
0.25,0.25,0.0645563
0.26,0.26,0.0701074
0.27,0.27,0.0757985
0.28,0.28,0.0816189
0.29,0.29,0.0875592
0.3,0.3,0.0936105
0.31,0.31,0.0997651
0.32,0.32,0.106015
0.33,0.33,0.112355
0.34,0.34,0.118778
0.35,0.35,0.125279
0.36,0.36,0.131852
0.37,0.37,0.138494
0.38,0.38,0.145199
0.39,0.39,0.151964
0.4,0.4,0.158786
0.41,0.41,0.165661
0.42,0.42,0.172586
0.43,0.43,0.179559
0.44,0.44,0.186576
0.45,0.45,0.193635
0.47,0.47,0.207872
0.49,0.49,0.222253
0.51,0.51,0.236765
0.53,0.53,0.251396
0.55,0.55,0.266134
0.57,0.57,0.28097
0.59,0.59,0.295896
0.61,0.61,0.310905
0.63,0.63,0.325988
0.66,0.66,0.348741
0.69,0.69,0.371628
0.72,0.72,0.39463
0.76,0.76,0.425438
0.77,0.77,0.433164
0.84,0.84,0.487245
0.87,0.87,0.510349
0.88,0.88,0.518012
0.9,0.9,0.533338
0.93,0.93,0.556185
0.96,0.96,0.578886
0.99,0.99,0.601438
1,1,0.608955
1.04,1.04,0.638844
1.09,1.09,0.676024
1.1,1.1,0.683429
1.15,1.15,0.720455
1.21,1.21,0.76473
1.23,1.23,0.779488
1.32,1.32,0.845689
1.41,1.41,0.911696
1.43,1.43,0.926322
1.5,1.5,0.97751
1.54,1.54,1.00667
1.59,1.59,1.04311
1.65,1.65,1.0867
1.68,1.68,1.10849
1.76,1.76,1.16638
1.77,1.77,1.17361
1.86,1.86,1.23846
1.87,1.87,1.24564
1.95,1.95,1.30302
1.98,1.98,1.32444
2.04,2.04,1.36727
2.09,2.09,1.40278
2.13,2.13,1.43119
2.2,2.2,1.48064
2.22,2.22,1.49476
2.31,2.31,1.55797
2.4,2.4,1.62081
2.42,2.42,1.63468
2.49,2.49,1.68325
2.53,2.53,1.71083
2.58,2.58,1.74529
2.64,2.64,1.78638
2.67,2.67,1.80692
2.75,2.75,1.86133
2.76,2.76,1.86813
2.85,2.85,1.9289
2.86,2.86,1.9356
2.94,2.94,1.98923
2.97,2.97,2.00919
3.03,3.03,2.04911
3.08,3.08,2.08212
3.12,3.12,2.10853
3.19,3.19,2.15438
3.21,3.21,2.16748
3.3,3.3,2.22596
3.4,3.4,2.29038
3.41,3.41,2.29676
3.49,3.49,2.34784
3.52,3.52,2.36683
3.58,3.58,2.40482
3.63,3.63,2.4362
3.67,3.67,2.4613
3.74,3.74,2.50482
3.77,3.77,2.52348
3.85,3.85,2.57272
3.87,3.87,2.58504
3.96,3.96,2.63988
3.97,3.97,2.64597
4.07,4.07,2.70629
4.17,4.17,2.76597
4.18,4.18,2.77188
4.27,4.27,2.82503
4.29,4.29,2.83672
4.37,4.37,2.88346
4.4,4.4,2.9008
4.47,4.47,2.94126
4.51,4.51,2.96413
4.57,4.57,2.99843
4.62,4.62,3.0267
4.67,4.67,3.05497
4.73,4.73,3.08852
4.77,4.77,3.11088
4.84,4.84,3.14956
4.88,4.88,3.17166
4.95,4.95,3.20985
4.99,4.99,3.23168
5,5,3.2371
