Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price GBP,Basket link,,,,,"ROTARY ENCODER MECHANICAL 12PPR - (118-PEC11R-4325F-S0012-ND) . 2 x 2.124 GBP CAP CER 0.1UF 50V X7R 0603 - (1276-1000-1-ND) . 150 x 0.006 GBP CAP CER 100PF 50V C0G/NP0 0402 - (1276-1025-1-ND) . 100 x 0.004 GBP CAP CER 1UF 50V X7R 0805 - (1276-1029-1-ND) . 25 x 0.038 GBP CAP CER 1000PF 50V X7R 0402 - (1276-1032-1-ND) . 100 x 0.004 GBP CAP CER 10UF 50V X5R 1206 - (1276-6736-1-ND) . 20 x 0.106 GBP PTC RESET FUSE 16V 5A RAD - (13-BK16-500-SZ-ND) . 3 x 0.336 GBP PTC RESET FUSE 16V 750MA 1206 - (13-SMD1206B075TF/16CT-ND) . 10 x 0.112 GBP SWITCH TOGGLE DPST 6A 125V - (2057-SW-T2-3A-A-A2-M2-ND) . 2 x 1.008 GBP XTAL OSC XO 25MHZ 3.3V HCMOS - (2151-COM1305-25.000-EXT-T-TRCT-ND) . 1 x 0.972 GBP IC COMPARATOR 2 DIFF 8SOIC - (296-1015-1-ND) . 10 x 0.146 GBP IC OPAMP GP 4 CIRCUIT 14SOIC - (296-45121-5-ND) . 10 x 2.255 GBP RES 1K OHM 1% 1/10W 0603 - (311-1.00KHRCT-ND) . 100 x 0.007 GBP RES 1M OHM 1% 1/10W 0603 - (311-1.00MHRCT-ND) . 100 x 0.007 GBP RES 10K OHM 1% 1/10W 0603 - (311-10.0KHRCT-ND) . 200 x 0.007 GBP RES 10 OHM 1% 1/16W 0402 - (311-10.0LRCT-ND) . 150 x 0.008 GBP RES 100 OHM 1% 1/10W 0603 - (311-100HRCT-ND) . 100 x 0.007 GBP RES 100K OHM 1% 1/16W 0402 - (311-100KLRCT-ND) . 150 x 0.007 GBP RES 150 OHM 1% 1/16W 0402 - (311-150LRCT-ND) . 100 x 0.006 GBP RES 20K OHM 1% 1/16W 0402 - (311-20.0KLRCT-ND) . 100 x 0.006 GBP RES 220K OHM 1% 1/4W 1206 - (311-220KFRCT-ND) . 30 x 0.017 GBP RES 33 OHM 1% 1/16W 0402 - (311-33.0LRCT-ND) . 100 x 0.004 GBP RES 4.7K OHM 1% 1/10W 0603 - (311-4.70KHRCT-ND) . 100 x 0.008 GBP RES 47K OHM 1% 1/10W 0603 - (311-47.0KHRCT-ND) . 100 x 0.006 GBP RES 47 OHM 1% 1/16W 0402 - (311-47.0LRCT-ND) . 100 x 0.006 GBP RES 49.9 OHM 1% 1/16W 0402 - (311-49.9LRCT-ND) . 50 x 0.008 GBP RES 5.1K OHM 1% 1/10W 0603 - (311-5.10KHRCT-ND) . 100 x 0.007 GBP LED GREEN DIFFUSED 0603 SMD - (3147-B1931NG--20D001114U1930CT-ND) . 10 x 0.060 GBP SOT-23, MOSFET - (3757-PJA3433_R1_00001CT-ND) . 3 x 0.180 GBP CAP ALUM 100UF 20% 25V RADIAL TH - (399-6102-ND) . 25 x 0.101 GBP CAP ALUM 47UF 20% 25V RADIAL TH - (399-6587-ND) . 50 x 0.068 GBP CAP CER 10000PF 50V X7R 0402 - (399-C0402C103K5RACTUCT-ND) . 100 x 0.005 GBP MOSFET, P-CH, SINGLE, -4.00A, -2 - (4786-GSFC3415CCT-ND) . 10 x 0.106 GBP DIODE GEN PURP 1000V 1A DO204AC - (4878-1N4007CT-ND) . 10 x 0.054 GBP CAP CER 10PF 50V C0G/NP0 0201 - (490-6112-1-ND) . 100 x 0.007 GBP CAP CER 47PF 50V C0G/NP0 0201 - (490-6129-1-ND) . 100 x 0.007 GBP CAP CER 680PF 50V C0G/NP0 0201 - (490-GRM0335C1H681JE01DCT-ND) . 100 x 0.009 GBP CAP CER 470PF 50V X5R 0201 - (490-GRM033R61H471KA12DCT-ND) . 100 x 0.007 GBP LIGHT PIPE CLEAR 5MM LENS STRGHT - (492-1305-ND) . 10 x 0.455 GBP IC REG LINEAR 8V 500MA DPAK - (497-1206-1-ND) . 10 x 0.344 GBP IC MCU 32BIT 2MB FLASH 144LQFP - (497-STM32H7A3ZIT6-ND) . 1 x 14.760 GBP CRYSTAL 32.7680KHZ 12.5PF TH - (535-9032-ND) . 4 x 0.288 GBP IC REG LINEAR POS ADJ 5A 7-SPAK - (576-1613-ND) . 2 x 3.624 GBP LED RED CLEAR 0603 SMD - (732-4978-1-ND) . 3 x 0.132 GBP IC REG LINEAR 3.3V 1.5A TO252-3 - (AP7363-33D-13CT-ND) . 10 x 0.539 GBP DIODE SCHOTTKY 30V 200MA SOD123 - (BAT54T1GOSCT-ND) . 10 x 0.067 GBP DIODE ZENER 12V 500MW SOD123 - (BZT52C1213-FDICT-ND) . 10 x 0.061 GBP - (Delivery-Charge) . 1 x 0.000 GBP FUSE CLIP CARTRIDGE 250V 10A PCB - (F4189-ND) . 16 x 0.118 GBP IC TRANSCEIVER FULL 2/2 24SQFN - (LAN8720A-CP-ABC-ND) . 1 x 1.260 GBP IC VREF SERIES 0.1% SOT23-6 - (MCP1501T-33E/CHYCT-ND) . 3 x 0.720 GBP PTC RESET FUSE 24V 1.5A 1812 - (MF-MSMF150/24X-2CT-ND) . 5 x 0.175 GBP DIODE ZENER 3.3V 500MW SOD123 - (MMSZ4684T1GOSCT-ND) . 10 x 0.090 GBP DIODE ZENER 5.1V 500MW SOD123 - (MMSZ5231B-FDICT-ND) . 15 x 0.026 GBP RES SMD 0 OHM JUMPER 1/10W 0402 - (P0.0JCT-ND) . 50 x 0.010 GBP RES SMD 10K OHM 0.1% 1/10W 0603 - (P10KDBCT-ND) . 3 x 0.096 GBP SWITCH PUSHBUTTON DPST 15A 250V - (PB1973GBLKGILEF4-ND) . 1 x 3.696 GBP RES SMD 10K OHM 0.5% 1/4W 0805 - (RNCF0805DTC10K0CT-ND) . 60 x 0.012 GBP XFRMR LAN 10/100/1000 1:1 350UH - (SM453229-381N7YCT-ND) . 1 x 0.456 GBP MOSFET N-CHANNEL 20V 6.7A SOT23 - (TSM210N02CXRFGCT-ND) . 10 x 0.316 GBP IC FLASH 128MBIT SPI/QUAD 8WSON - (W25Q128JVPIQ-ND) . 2 x 1.164 GBP RES SMD 5.1K OHM 0.1% 1/10W 0603 - (YAG1696CT-ND) . 10 x 0.066 GBP RES SMD 220K OHM 0.1% 1/8W 0805 - (YAG1829CT-ND) . 10 x 0.083 GBP"
1,1,PB1973GBLKGILEF4-ND,PB1973GBLKGILEF4,SWITCH PUSHBUTTON DPST 15A 250V,,1,0,3.08,3.08,https://www.digikey.co.uk/short/57nqvh3z,,,,,
2,2,2057-SW-T2-3A-A-A2-M2-ND,SW-T2-3A-A-A2-M2,SWITCH TOGGLE DPST 6A 125V,,2,0,0.84,1.68,,,,,,
3,2,118-PEC11R-4325F-S0012-ND,PEC11R-4325F-S0012,ROTARY ENCODER MECHANICAL 12PPR,,2,0,1.77,3.54,,,,,,
4,1,497-STM32H7A3ZIT6-ND,STM32H7A3ZIT6,IC MCU 32BIT 2MB FLASH 144LQFP,,1,0,12.3,12.3,,,,,,
5,2,W25Q128JVPIQ-ND,W25Q128JVPIQ,IC FLASH 128MBIT SPI/QUAD 8WSON,,2,0,0.97,1.94,,,,,,
6,1,LAN8720A-CP-ABC-ND,LAN8720A-CP-ABC,IC TRANSCEIVER FULL 2/2 24SQFN,,1,0,1.05,1.05,,,,,,
7,1,SM453229-381N7YCT-ND,SM453229-381N7Y,XFRMR LAN 10/100/1000 1:1 350UH,,1,0,0.38,0.38,,,,,,
8,1,2151-COM1305-25.000-EXT-T-TRCT-ND,COM1305-25.000-EXT-T-TR,XTAL OSC XO 25MHZ 3.3V HCMOS,,1,0,0.81,0.81,,,,,,
9,4,535-9032-ND,AB26T-32.768KHZ,CRYSTAL 32.7680KHZ 12.5PF TH,,4,0,0.24,0.96,,,,,,
10,10,4878-1N4007CT-ND,1N4007,DIODE GEN PURP 1000V 1A DO204AC,,10,0,0.045,0.45,,,,,,
11,3,MCP1501T-33E/CHYCT-ND,MCP1501T-33E/CHY,IC VREF SERIES 0.1% SOT23-6,,3,0,0.6,1.8,,,,,,
12,2,576-1613-ND,MIC69502WR,IC REG LINEAR POS ADJ 5A 7-SPAK,,2,0,3.02,6.04,,,,,,
13,10,AP7363-33D-13CT-ND,AP7363-33D-13,IC REG LINEAR 3.3V 1.5A TO252-3,,10,0,0.449,4.49,,,,,,
14,10,497-1206-1-ND,L78M08CDT-TR,IC REG LINEAR 8V 500MA DPAK,,10,0,0.287,2.87,,,,,,
15,10,4786-GSFC3415CCT-ND,GSFC3415C,"MOSFET, P-CH, SINGLE, -4.00A, -2",,10,0,0.088,0.88,,,,,,
16,10,TSM210N02CXRFGCT-ND,TSM210N02CX RFG,MOSFET N-CHANNEL 20V 6.7A SOT23,,10,0,0.263,2.63,,,,,,
17,10,492-1305-ND,PLP5-2-500,LIGHT PIPE CLEAR 5MM LENS STRGHT,,10,0,0.379,3.79,,,,,,
18,10,296-45121-5-ND,OPA4197ID,IC OPAMP GP 4 CIRCUIT 14SOIC,,10,0,1.879,18.79,,,,,,
19,10,296-1015-1-ND,LM393DR,IC COMPARATOR 2 DIFF 8SOIC,,10,0,0.122,1.22,,,,,,
20,50,399-6587-ND,ESH476M025AC3AA,CAP ALUM 47UF 20% 25V RADIAL TH,,50,0,0.0568,2.84,,,,,,
21,25,399-6102-ND,ESK107M025AC3AA,CAP ALUM 100UF 20% 25V RADIAL TH,,25,0,0.084,2.1,,,,,,
22,100,490-6112-1-ND,GRM0335C1H100JA01D,CAP CER 10PF 50V C0G/NP0 0201,,100,0,0.0055,0.55,,,,,,
23,100,1276-1025-1-ND,CL05C101JB5NNNC,CAP CER 100PF 50V C0G/NP0 0402,,100,0,0.0032,0.32,,,,,,
24,20,1276-6736-1-ND,CL31A106MBHNNNE,CAP CER 10UF 50V X5R 1206,,20,0,0.088,1.76,,,,,,
25,100,490-6129-1-ND,GRM0335C1H470JA01D,CAP CER 47PF 50V C0G/NP0 0201,,100,0,0.0062,0.62,,,,,,
26,100,490-GRM033R61H471KA12DCT-ND,GRM033R61H471KA12D,CAP CER 470PF 50V X5R 0201,,100,0,0.0058,0.58,,,,,,
27,100,490-GRM0335C1H681JE01DCT-ND,GRM0335C1H681JE01D,CAP CER 680PF 50V C0G/NP0 0201,,100,0,0.0071,0.71,,,,,,
28,100,1276-1032-1-ND,CL05B102KB5NNNC,CAP CER 1000PF 50V X7R 0402,,100,0,0.0032,0.32,,,,,,
29,100,399-C0402C103K5RACTUCT-ND,C0402C103K5RACTU,CAP CER 10000PF 50V X7R 0402,,100,0,0.0038,0.38,,,,,,
30,3,P10KDBCT-ND,ERA-3AEB103V,RES SMD 10K OHM 0.1% 1/10W 0603,,3,0,0.08,0.24,,,,,,
31,60,RNCF0805DTC10K0CT-ND,RNCF0805DTC10K0,RES SMD 10K OHM 0.5% 1/4W 0805,,60,0,0.0202,1.21,,,,,,
32,150,311-10.0LRCT-ND,RC0402FR-0710RL,RES 10 OHM 1% 1/16W 0402,,150,0,0.0065,0.98,,,,,,
33,100,311-33.0LRCT-ND,RC0402FR-0733RL,RES 33 OHM 1% 1/16W 0402,,100,0,0.0032,0.32,,,,,,
34,50,311-49.9LRCT-ND,RC0402FR-0749R9L,RES 49.9 OHM 1% 1/16W 0402,,50,0,0.007,0.35,,,,,,
35,100,311-100HRCT-ND,RC0603FR-07100RL,RES 100 OHM 1% 1/10W 0603,,100,0,0.0056,0.56,,,,,,
36,100,311-150LRCT-ND,RC0402FR-07150RL,RES 150 OHM 1% 1/16W 0402,,100,0,0.0048,0.48,,,,,,
37,100,311-1.00KHRCT-ND,RC0603FR-071KL,RES 1K OHM 1% 1/10W 0603,,100,0,0.0056,0.56,,,,,,
38,100,311-4.70KHRCT-ND,RC0603FR-074K7L,RES 4.7K OHM 1% 1/10W 0603,,100,0,0.0065,0.65,,,,,,
39,200,311-10.0KHRCT-ND,RC0603FR-0710KL,RES 10K OHM 1% 1/10W 0603,,200,0,0.0056,1.12,,,,,,
40,100,311-20.0KLRCT-ND,RC0402FR-0720KL,RES 20K OHM 1% 1/16W 0402,,100,0,0.0048,0.48,,,,,,
41,100,311-47.0KHRCT-ND,RC0603FR-0747KL,RES 47K OHM 1% 1/10W 0603,,100,0,0.0052,0.52,,,,,,
42,150,311-100KLRCT-ND,RC0402FR-07100KL,RES 100K OHM 1% 1/16W 0402,,150,0,0.0056,0.84,,,,,,
43,100,311-1.00MHRCT-ND,RC0603FR-071ML,RES 1M OHM 1% 1/10W 0603,,100,0,0.0056,0.56,,,,,,
44,100,311-47.0LRCT-ND,RC0402FR-0747RL,RES 47 OHM 1% 1/16W 0402,,100,0,0.0048,0.48,,,,,,
